TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ACND.WS;1,45;;-1.667,50;15,01;0,18;;;;;-1.828,87;2,58;-0,14;;131,41;-0,18;2,45;-0,90;-0,01;-5,38;0,01;0,99;0,00;;;;0,10;0,00;;492.660.000,00
ACOR;13,88;;-0,28;0,21;0,04;76,67;0,31;-49,22;0,33;413,97;368,82;1,74;0,14;0,49;-0,05;1,96;-75,65;-15,53;-11,27;0,21;0,79;0,32;-27,41;;;61,96;-46,87;;16.432.983,00
ACP;6,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACRS;6,58;;-4,43;2,60;1,98;88,29;-337,90;-337,90;-4,46;-3,29;1,14;-0,67;14,97;4,24;-4,54;5,82;-58,59;-44,69;-58,59;0,76;0,24;0,13;77,62;;;2,54;-1,49;;466.536.414,00
ACRX;1,00;;0,34;1,14;0,62;-35,97;4.318,13;3.632,58;0,27;0,11;-0,17;-0,70;12,17;2,05;-1,81;1,83;338,98;183,62;326,74;0,54;0,46;0,05;-26,03;;;0,87;2,95;;16.176.699,00
ACST;2,05;;-0,36;0,23;0,19;;;;-0,30;0,24;0,54;-0,41;;0,60;-0,31;8,59;-62,44;-53,62;-90,52;0,86;0,14;0,00;;;;9,12;-5,70;;15.417.360,00
ACTC;18,09;;-9.804,64;125,50;2,24;;;;;-9.773,62;31,02;-0,40;;468,63;-2,26;2,22;-1,28;-0,02;-1,28;0,02;0,98;0,00;;;;0,14;0,00;;627.496.875,00
ACTCU;20,42;;-11.067,48;141,66;2,53;;;;;-9.773,62;31,02;-0,40;;528,99;-2,55;2,22;-1,28;-0,02;-1,28;0,02;0,98;0,00;;;;0,14;0,00;;627.496.875,00
ACTCW;6,01;;-3.257,37;41,69;0,74;;;;;-9.773,62;31,02;-0,40;;155,69;-0,75;2,22;-1,28;-0,02;-1,28;0,02;0,98;0,00;;;;0,14;0,00;;627.496.875,00
ACTG;3,81;;1.028,40;1,18;0,72;25,91;7,66;0,72;21,83;2,80;-93,76;-1,15;7,40;0,94;-7,82;6,24;0,11;0,07;0,92;0,61;0,35;0,10;-1,97;;;3,25;0,00;;382.564.529,00
ACV;19,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAP;0,79;;-1,96;1,41;0,52;100,00;-124,81;-128,63;-2,20;0,29;2,32;-1,62;2,52;0,96;-2,20;3,44;-71,87;-26,54;-71,87;0,37;0,63;0,21;-6,42;;;0,56;-0,40;;178.675.880,00
ADBE;528,78;;50,18;16,80;9,03;87,76;35,45;28,00;;39,28;-0,35;-0,15;14,05;229,78;-13,23;1,14;33,49;18,00;27,49;0,54;0,46;0,64;21,94;32,77;;31,53;10,56;;241.496.514.000,00
