TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RBVA11;111,89;1,000000;10,75;108,26;1,03;718.900,10;0,78;3,37;-2,58;1.254.508.454,86;45.957,00;Ativa;11.588.199,00
RBVO11;8,30;0,020000;2,23;18,04;0,46;2.184,68;5,95;-38,93;-27,11;9.306.848,49;2.622,00;;515.824,00
RCFA11;2,08;;0,00;17,15;0,12;2.088,13;0,01;;36,94;10.017.039,83;278,00;Passiva;583.926,00
RCFF11;83,01;1,231214;1,48;92,93;0,89;2.019,60;11,36;;-6,64;30.034.338,93;86,00;Ativa;323.200,00
RCKF11;0,00;;0,00;;;;;;;;;;1.500.000,00
RCRB11;151,00;0,770000;5,92;208,37;0,72;889.925,19;1,99;-3,02;-5,01;769.030.231,50;28.753,00;Ativa;3.690.695,00
RCRI11B;1.200,00;12,481836;0,00;365,40;3,28;;70,80;;;18.639.596,10;149,00;Ativa;51.012,00
RECH11;0,00;;0,00;;;;;;;;;;0,00
RECR11;89,75;0,597000;11,49;96,06;0,93;4.052.855,29;2,67;-11,20;-4,46;2.539.982.532,43;187.832,00;Ativa;26.441.650,00
RECT11;45,18;0,400000;12,77;92,53;0,49;483.794,23;0,21;-9,04;-22,43;790.524.412,25;72.430,00;Ativa;8.543.493,00
RECX11;68,38;0,600000;11,84;76,68;0,89;9.517,90;2,84;;;16.740.110,32;679,00;Ativa;218.313,00
REIT11;190,00;1,860000;16,65;291,33;0,65;433,00;6,49;;-45,29;7.659.273,22;68,00;Ativa;26.291,00
RELG11;54,75;0,700000;7,47;123,71;0,44;149.459,84;0,32;;;165.100.523,98;6.756,00;Ativa;1.334.562,00
RFOF11;80,09;0,750000;10,73;82,89;0,97;98.746,77;4,56;4,51;-1,10;89.366.413,58;4.964,00;Ativa;1.078.164,00
RINV11;111,24;2,000000;8,81;110,04;1,01;470.246,71;2,92;;;33.025.681,79;246,00;Ativa;300.129,00
RMAI11;50,99;0,260000;6,12;99,17;0,51;51.470,71;0,56;;;242.344.280,94;1.185,00;Ativa;2.443.800,00
RNDP11;153,98;2,000000;8,63;169,33;0,91;9.672,35;2,64;-34,71;-44,79;18.200.073,75;1.132,00;Ativa;107.481,00
RNGO11;44,53;0,360000;11,14;86,56;0,51;85.766,94;1,59;0,89;-14,75;231.625.120,49;11.168,00;Passiva;2.676.000,00
ROOF11;510,00;41,715400;16,35;592,53;0,86;7.022,00;7,65;;;45.918.329,95;80,00;Ativa;77.495,00
RPRI11;97,45;0,870000;14,54;102,15;0,95;179.534,48;5,09;;;229.002.305,38;2.821,00;Ativa;2.241.755,00
RRCI11;81,50;0,950000;14,36;92,59;0,88;36.281,16;2,96;;;44.604.149,41;2.202,00;Ativa;481.757,00
RSPD11;1.125,00;8,638802;4,63;1.145,47;0,98;;0,82;;;170.687.461,60;105,00;Ativa;149.011,00
RVBI11;83,35;0,750000;10,80;87,16;0,96;244.184,06;1,25;2,65;-2,35;125.506.186,92;12.241,00;Ativa;1.440.000,00
RZAK11;93,00;1,160000;17,02;93,26;1,00;3.887.429,13;2,47;;;821.461.572,67;48.069,00;Ativa;8.807.885,00
