TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ACEV;9,78;;-24,18;-1,71;2,06;;;;-24,18;-30,41;-6,23;;;-4,44;-2,06;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACEVU;9,60;;-23,74;-1,68;2,02;;;;-23,74;-30,41;-6,23;;;-4,36;-2,02;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACEVW;0,16;;-0,40;-0,03;0,03;;;;-0,40;-30,41;-6,23;;;-0,07;-0,03;0,00;-7,08;-8,52;12,68;-1,20;1,20;0,00;;;;-5,71;-0,40;;83.063.496,00
ACGL;81,53;;13,67;2,08;0,56;32,75;20,93;18,85;11,84;13,37;1,05;0,18;2,58;;-0,56;;15,18;4,13;11,55;0,27;0,73;0,22;11,31;21,12;;39,26;5,96;;30.395.775.450,00
ACGLO;20,68;6,59;3,47;0,53;0,14;32,75;20,93;18,85;3,00;13,37;1,05;0,18;0,65;;-0,14;;15,18;4,13;11,55;0,27;0,73;0,22;11,31;21,12;;39,26;5,96;;30.395.775.450,00
ACGLP;24,99;;4,19;0,64;0,17;32,75;20,93;18,85;3,63;13,37;1,05;0,18;0,79;;-0,17;;15,18;4,13;11,55;0,27;0,73;0,22;11,31;21,12;;39,26;5,96;;30.395.775.450,00
ACH;9,04;;10,73;0,52;0,20;11,12;7,84;2,57;;8,47;4,95;0,74;0,28;9,95;-0,28;1,08;4,88;1,86;7,76;0,38;0,62;0,73;27,84;;;17,28;0,84;;6.195.995.208,00
ACHC;70,23;;23,94;2,22;1,26;96,27;16,04;9,74;11,32;17,41;2,88;0,44;2,33;44,27;-1,42;1,34;9,26;5,25;8,21;0,57;0,42;0,54;-1,65;6,45;;31,69;2,94;;6.471.382.078,00
ACHV;4,28;;-2,19;9,40;3,15;;;;-2,34;-2,08;0,24;-0,95;;3,98;-35,95;7,65;-428,29;-143,66;-153,66;0,34;0,66;0,00;;;;0,46;-1,97;;90.754.940,00
ACI;22,90;31,88;8,51;6,62;0,51;27,89;2,87;1,86;2,64;8,91;3,41;4,09;0,16;-7,96;-0,67;0,78;77,76;6,02;19,52;0,08;0,92;3,24;5,32;100,85;;3,47;2,70;;13.194.571.848,00
ACIA;114,99;;71,00;7,39;5,88;48,37;11,97;12,55;63,46;67,54;-6,95;-0,69;8,91;9,83;-25,15;4,56;10,41;8,28;9,43;0,80;0,20;0,66;26,01;80,21;;15,56;1,62;;4.884.783.364,29
ACIC;7,37;;-3,90;2,87;0,22;-59,01;-77,67;-16,43;-0,88;-1,38;-0,54;1,89;0,64;;-0,22;;-73,49;-5,72;-98,44;0,08;0,92;0,35;;;;2,59;-1,90;;325.982.815,00
ACIC.U;10,10;;-5,31;3,90;0,30;-59,01;-77,67;-16,43;-1,20;-1,38;-0,54;1,89;0,87;;-0,30;;-73,49;-5,72;-98,44;0,08;0,92;0,35;;;;2,59;-1,90;;325.982.815,00
ACIC.WS;1,68;;-0,88;0,65;0,05;-59,01;-77,67;-16,43;-0,20;-1,38;-0,54;1,89;0,15;;-0,05;;-73,49;-5,72;-98,44;0,08;0,92;0,35;;;;2,59;-1,90;;325.982.815,00
ACIU;2,93;;-3,36;1,23;1,14;100,00;-931,75;-936,40;-3,49;-1,35;2,03;-0,74;31,47;1,75;-4,04;10,85;-36,64;-33,88;-36,46;0,92;0,08;0,04;-27,19;;;2,36;-0,86;;242.240.770,00
ACIW;22,42;;32,84;2,08;0,80;48,20;13,34;5,42;7,48;18,46;5,11;0,80;1,78;9,90;-1,20;1,32;6,34;2,42;6,42;0,38;0,62;0,45;6,78;94,29;;10,80;0,68;;2.442.310.546,00
ACKI;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACKIT;10,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACKIU;10,36;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACKIW;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACLS;161,74;;25,63;7,12;4,72;42,67;22,85;20,19;22,04;21,04;-1,74;-0,55;5,17;7,54;-30,86;3,82;27,76;18,41;26,85;0,66;0,34;0,91;17,51;7,60;;22,67;6,29;;5.325.952.075,00
ACM;83,57;0,82;86,21;4,76;1,02;6,52;3,31;0,97;18,32;27,23;2,05;0,39;0,84;20,97;-2,27;1,10;5,52;1,19;8,21;0,21;0,79;1,22;-6,30;-1,76;;17,69;0,98;;11.640.565.788,00
ACMR;18,25;;16,41;1,58;0,83;49,53;23,83;14,48;9,39;8,29;-1,68;-0,27;2,38;2,03;-3,42;2,18;9,65;5,07;11,18;0,53;0,47;0,35;60,50;;;11,53;1,11;;1.095.410.625,00
ACN;300,66;1,86;26,45;7,48;3,78;32,25;14,90;11,27;16,27;19,19;-0,90;-0,33;2,98;30,13;-7,08;1,37;28,28;14,29;28,88;0,51;0,48;1,27;11,23;14,83;;40,16;11,36;;190.165.859.091,00
ACNB;32,21;3,48;7,06;1,07;0,12;0,00;43,22;33,15;4,88;-5,47;-10,88;-2,16;2,34;;-0,12;;15,20;1,64;13,18;0,11;0,89;0,05;10,55;29,58;;30,02;4,56;;275.856.103,00
ACND;9,52;;-10.948,00;98,53;1,19;;;;;-1.828,87;2,58;-0,14;;862,80;-1,19;2,45;-0,90;-0,01;-5,38;0,01;0,99;0,00;;;;0,10;0,00;;492.660.000,00
ACND.U;10,32;;-11.868,00;106,81;1,29;;;;;-1.828,87;2,58;-0,14;;935,31;-1,29;2,45;-0,90;-0,01;-5,38;0,01;0,99;0,00;;;;0,10;0,00;;492.660.000,00
ACND.WS;1,45;;-1.667,50;15,01;0,18;;;;;-1.828,87;2,58;-0,14;;131,41;-0,18;2,45;-0,90;-0,01;-5,38;0,01;0,99;0,00;;;;0,10;0,00;;492.660.000,00
ACOR;14,69;;-0,89;0,27;0,05;81,30;8,07;-17,89;0,32;17,87;15,90;2,21;0,16;0,54;-0,06;2,14;-30,82;-5,74;3,80;0,19;0,81;0,32;-27,41;;;54,64;-16,84;;18.556.974,00
ACP;6,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACRS;6,72;;-4,60;2,70;2,06;88,29;-337,90;-337,90;-4,64;-3,43;1,14;-0,67;15,56;4,40;-4,72;5,82;-58,59;-44,69;-58,59;0,76;0,24;0,13;77,62;;;2,54;-1,49;;480.695.334,00
ACRX;0,57;;-0,35;0,89;0,53;-28,01;-1.269,37;-1.321,99;-0,38;-0,07;0,29;-0,71;4,60;2,02;-1,05;2,09;-256,81;-150,96;-246,71;0,59;0,41;0,11;-26,03;;;0,64;-1,64;;9.313.857,00
ACST;3,01;;-0,54;0,35;0,31;;;;-0,44;0,00;0,42;-0,34;;1,05;-0,46;12,01;-65,50;-57,41;-95,46;0,88;0,12;0,00;;;;8,59;-5,63;;21.450.240,00
ACTC;18,09;;-9.804,64;125,50;2,24;;;;;-9.773,62;31,02;-0,40;;468,63;-2,26;2,22;-1,28;-0,02;-1,28;0,02;0,98;0,00;;;;0,14;0,00;;627.496.875,00
ACTCU;20,42;;-11.067,48;141,66;2,53;;;;;-9.773,62;31,02;-0,40;;528,99;-2,55;2,22;-1,28;-0,02;-1,28;0,02;0,98;0,00;;;;0,14;0,00;;627.496.875,00
ACTCW;6,01;;-3.257,37;41,69;0,74;;;;;-9.773,62;31,02;-0,40;;155,69;-0,75;2,22;-1,28;-0,02;-1,28;0,02;0,98;0,00;;;;0,14;0,00;;627.496.875,00
ACTG;3,52;;942,48;1,08;0,66;25,91;7,66;0,72;20,01;-5,52;-93,76;-1,15;6,78;0,86;-7,17;6,24;0,11;0,07;0,92;0,61;0,35;0,10;-1,97;;;3,25;0,00;;349.602.050,00
ACV;18,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAP;0,78;;-1,94;1,39;0,51;100,00;-124,81;-128,63;-2,18;0,35;2,32;-1,62;2,49;0,95;-2,17;3,44;-71,87;-26,54;-71,87;0,37;0,63;0,21;-6,42;;;0,56;-0,40;;174.152.440,00
ADBE;504,18;;47,80;16,01;8,60;87,76;35,45;28,00;;37,42;-0,35;-0,15;13,38;218,91;-12,60;1,14;33,49;18,00;27,49;0,54;0,46;0,64;21,94;32,77;;31,53;10,56;;230.197.232.000,00
ADCT;0,84;;-0,37;0,59;0,13;95,67;-245,19;-199,01;;0,91;1,21;-2,42;0,73;0,20;-0,71;5,76;-162,09;-35,92;-119,48;0,22;0,78;0,18;;;;1,43;-2,32;;68.546.125,00
ADES;1,83;;-3,17;0,34;0,26;23,13;-18,49;-20,33;-6,60;-1,31;2,17;-0,21;0,64;0,79;-0,45;4,16;-10,82;-8,10;-8,86;0,75;0,25;0,40;17,82;;;5,34;-0,58;;59.929.755,00
ADI;176,50;1,89;23,47;2,45;1,78;65,23;33,69;29,23;13,23;21,72;1,35;0,16;6,86;43,94;-1,98;1,71;10,45;7,60;9,31;0,73;0,27;0,26;18,02;27,83;;72,05;7,53;;88.121.847.760,00
