,DY,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
ENMA3B,"5,53",,,,"10,21",,,,,,,,
ENMA6B,"3,32",,,,,,,,,,,,
ENMT3,"5,18","4,34","6,77",,"3,54","9,93",,"0,01","2,59",,,,
ENMT4,"5,09","4,32","6,11","1,72","3,46","10,70",,,"2,59",,,,
EPAR3,,"20,71",,,,,,,,,,,
EQPA3,"7,99","7,64","7,99","8,48","3,55",,,,,,,,
EQPA5,"5,99","5,68","5,92","4,75","2,17",,,,,,,,
EQPA6,"4,80",,,,,,,,,,,,
EQPA7,"7,19","6,31","6,12","5,21","1,72",,,,,,,,
EQTL3,"1,14","2,37","3,18","1,38","4,17","1,62","0,88","1,71","3,45","1,41","1,47","2,46","14,21"
ESPA3,,,"1,71",,,,,,,,,,
ESTR3,,,,,,,,,,,,,
ESTR4,,,,,,,,,,,,,
ETER3,"4,39","9,38","1,15",,,,,,"14,59","20,68","9,12","9,85","10,15"
EUCA3,"4,57",,"5,29",,"0,06",,"0,70",,,,,,
EUCA4,"6,40",,"7,86",,"0,55","1,55","1,35","0,29","1,52",,"3,01","2,88","4,02"
EVEN3,"2,40","3,28","12,61","1,20",,,,"4,78","12,82","10,60","3,21","2,45","4,16"
EZTC3,"1,34","5,80","2,07","0,69","0,27","2,06","17,38","6,32","8,69","4,31","1,87","2,07","2,50"
FBMC3,,,,,,,,,,,,,
FBMC4,,,,,,,,,,"11,91","6,27","8,59","3,73"
FESA3,"6,03","8,25","1,34","2,69","3,68","4,38","5,98","6,25","9,27",,"0,88",,
FESA4,"8,62","10,18","1,72","4,86","6,74","5,73","6,11","10,27","13,00","3,19","1,40","1,88","4,21"
FHER3,,,,,,,,,,,,,
FIBR3,,,,,,,,,,,,,
FIEI3,,,,,,,,,"74,07",,,"1,55","12,80"
FIGE3,"0,33",,,,,,,,,"0,14",,,
FIGE4,,,,,,,,,,"0,16",,,
FIQE3,"3,29","2,16","1,26",,,,,,,,,,
FLEX3,,,,,,,,,,,,,
FLRY3,"3,24","6,50","5,32","2,73","3,32","4,86","2,16","6,87","0,39","7,86","1,33","1,00","0,94"
FNCN3,"3,75",,,,,,,,,,,,
FRAS3,"2,85","3,66","2,15","1,73","5,24","5,03","5,53","2,49","3,49","2,67",,"1,70","5,87"
FRIO3,,,,,,,,,,,,,"12,41"
FRTA3,,,,,,,,,,,,,
FTRT3B,,,,,,,,,,,,,
G2DI33,,,,,,,,,,,,,
GBIO33,,,,,,,,,,,,,
GEPA3,"11,72","5,38","9,19","6,22","5,43","10,32","10,17","11,25",,,"5,76","7,86",
GEPA4,"12,44","4,97","8,88","5,96","5,37","8,79","9,80","10,29","5,21","8,42","5,76","5,77","6,80"
GETT11,,"8,79",,,,,,,,,,,
GETT3,,"8,39",,,,,,,,,,,
GETT4,,"9,02",,,,,,,,,,,
GFSA3,,,,,,,,"2,59",,"3,65","8,81",,"5,56"
GGBR3,"14,03","14,81","13,66","1,58","1,64","3,10","0,48","0,63","6,32","3,64","1,79","1,95","2,69"
GGBR4,"12,96","12,36","11,26","1,31","1,40","2,56","0,40","0,46","4,73","3,05","1,25","1,67","2,28"
GGPS3,"1,46",,"1,18",,,,,,,,,,
GMAT3,,,,,,,,,,,,,
GNDI3,,"2,41","0,47","0,21","0,22",,,,,,,,
GOAU3,"9,96","10,36","21,83","1,83","1,73","2,71","0,39",,"7,28","3,48","0,79","2,27","3,46"
GOAU4,"9,94","9,64","20,39","1,60","1,62","2,88","0,35",,"6,63","2,65","0,64","1,79","2,96"
GOLL4,,,,,,,,,,,,,"1,51"
GPAR3,,"33,67",,,,,,,,,,,
GPIV33,,,,,,,,,,,,,
GRAO3,,,,,,,,,,,,,
GRND3,"20,89","5,07","10,01","2,00","2,61","10,84","4,40","5,93","4,10","5,14","5,42","5,55","7,93"
GSHP3,,,,,"109,63",,,,,,,,
GUAR3,"0,33","2,15","4,77","2,72","4,24","3,54","1,16","2,29","3,01","2,45","2,82","0,95","1,31"
GUAR4,,,,,,"3,96","1,37","2,68","3,14","3,16","3,42","1,17","1,64"
HAGA3,,,,,,,,,,,,,
HAGA4,,,,,,,,,,,,,
HAPV3,,,"0,60","2,13","0,43",,,,,,,,
HBOR3,"3,26","8,86","1,01",,,,,"36,68","25,12","10,63","8,78","8,68","3,85"
HBRE3,,,,,,,,,,,,,
HBSA3,,,,,,,,,,,,,
HBTS5,"6,01","4,85","0,32","0,20","0,65","0,53","6,63","9,07","47,49","15,50","8,54","21,17","13,77"
HETA3,,,,,,,,,,,,,
HETA4,,,,,,,,,,,,,
HGTX3,,,"0,28","2,56","3,11","2,33","6,28","6,74","5,76","4,38","4,24","3,61","1,73"
HOOT3,,,,,,,,,,,,,
HOOT4,,,,,,,,,,,,,
HYPE3,"3,20","2,73","4,36","3,43","3,00","6,25","1,81","1,91",,,"0,92",,"1,42"
IDVL3,,,,,,,,,,,,,
IDVL4,,,,,,,,,,,,"1,51","7,84"
IFCM3,,,,,,,,,,,,,
IGBR3,,,,,,,,,,,,,
IGSN3,,,,,,,,,,,,,
IGTA3,,,,"1,13","0,80","1,63","1,73","1,27","1,07","1,39","1,80","1,40","1,99"
IGTI11,"1,80","1,84",,,,,,,,,,,
IGTI3,"1,92","1,84","4,17","0,52","0,53","0,87",,,,,,,
IGTI4,"1,79","1,79",,,,,,,,,,,
INEP3,,,,,,,,,,,,,"4,74"
INEP4,,,,,,,,,,,,,"5,80"
INNT3,,,,,,,,,,,,,
INTB3,"1,83","1,85","0,59",,,,,,,,,,
IRBR3,,,,"0,38","6,52","2,63",,,,,,,
ITEC3,,,,,,,,,,,"0,05","2,99",
ITSA3,"6,28","6,90","4,24","5,23","8,48","7,15","3,62","6,26","7,58","1,83","1,71","2,86","2,91"
ITSA4,"6,37","7,22","4,41","5,50","8,45","7,87","3,52","6,07","7,75","1,89","2,44","4,27","3,30"
ITUB3,"5,37","4,65","4,76","4,67","8,76","7,38","0,86","2,78","5,36","1,62","2,93","3,23","3,48"
ITUB4,"4,59","4,07","4,34","4,12","7,56","6,25","0,76","2,47","5,01","1,51","2,75","3,01","2,77"
JALL3,"5,19","2,33","2,81",,,,,,,,,,
JBSS3,"10,82","9,10","7,95","2,28","0,01","0,40","0,34","3,56","1,36","0,69","0,68",,
JFEN3,,,,,,,,,,"3,04","2,05","2,26","1,49"
JHSF3,"8,91","4,16","7,06","1,87","2,80",,,,,"2,46","4,36","2,17","4,28"
JOPA3,"3,91","3,68","2,97","0,82","2,40",,"3,30",,"4,81","4,30","24,75","2,56","1,64"
JOPA4,"2,67","2,43","2,69","0,99","3,10",,"3,62","4,77","3,53","3,16","21,03","2,43","2,12"
JSLG3,"2,81","8,21","3,90",,,,,,,,,,
KEPL3,"9,92","18,28","4,28","1,44","1,18",,,"0,57","8,40","1,95","1,73","1,72",
KLBN11,"6,25","7,56","1,43","0,08","4,67","6,52","2,52","2,76","1,76","5,18",,,
