,TICKERS,PRECO,MIN_MES,MAX_MES,VAL_MES,MIN_52S,MAX_52S,VAL_12M, VPA,DY, LPA,P/L,P/L_IDEAL,UP/DOWNSIDE,ROE,P/VP,EV/EBIT,LIQ.CORR,MARG.LIQ,DIV.LIQ/PL,SEGMENTO,IBOVESPA,SMALLCAP,DIVIDENDOS
467,PRIO3,49.25,46.61,49.21,4.81,27.18,49.21,77.65,12.12,0.0,4.2,11.71,2.8857142857142852,-0.7539086294416244,34.61,4.05,11.29,0.9,46.03,0.85,Exploracao Refino e Distribuicao,IBOV,SMLL,
468,PRNR3,10.0,10.0,11.79,-12.66,5.47,12.14,57.73,5.85,2.52,0.54,18.93,10.833333333333332,-0.41500000000000004,9.25,1.75,4.94,1.65,2.12,0.86,Servicos Diversos,,,
469,PSSA3,27.03,26.01,27.05,3.56,20.49,29.33,22.14,17.72,2.52,2.89,9.29,6.131487889273355,-0.3444321124676286,16.29,1.51,3.7,1.11,6.15,-0.99,Seguradoras,,,IDIV
470,PTBL3,6.29,5.86,6.6,-4.7,5.27,12.81,-40.77,2.65,3.39,0.06,105.67,44.166666666666664,-0.5786963434022258,2.21,2.33,9.86,1.08,0.39,2.29,Produtos para Construcao,,SMLL,
471,PTCA11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23,0.0,5.91,0.0,3.930626057529611,inf,25.44,0.0,1.26,1.72,7.83,0.51,Maq Equip Industriais,,,
472,PTCA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23,0.0,5.91,0.0,3.930626057529611,inf,25.44,0.0,1.26,1.72,7.83,0.51,Maq Equip Industriais,,,
473,PTNT3,11.9,11.0,12.13,8.18,7.63,12.99,-6.08,7.7,2.68,0.96,12.44,8.020833333333334,-0.3529411764705882,12.43,1.55,7.54,1.68,5.31,0.4,Fios e Tecidos,,,
474,PTNT4,8.75,8.47,8.88,3.31,5.18,8.88,43.68,7.7,3.64,0.96,9.15,8.020833333333334,-0.12,12.43,1.14,7.54,1.68,5.31,0.4,Fios e Tecidos,,,
475,QGEP3,14.54,0.0,0.0,0.0,0.0,0.0,0.0,15.32,1.03,1.36,10.72,11.26470588235294,0.05364511691884455,8.85,0.95,7.28,1.24,21.34,0.03,Exploracao Refino e Distribuicao,,,
476,QUAL3,3.31,3.17,3.52,-5.97,3.17,9.03,-60.26,4.86,2.38,0.0,-4644.96,inf,0.46827794561933533,-0.01,0.68,9.38,1.09,-0.01,0.99,Serv Mao Hosp Analises e Diagnosticos,IBOV,SMLL,IDIV
477,QUSW3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.64,0.0,18.14,0.0,4.721058434399118,inf,21.18,0.0,1.22,1.61,20.81,0.67,Programas e Servicos,,,
478,QVQP3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.62,0.0,0.95,0.0,0.0,-0.98,Outros,,,
479,RADL3,27.72,26.81,27.84,0.62,20.93,29.54,28.76,3.22,0.96,0.6,46.25,5.366666666666667,-0.8838383838383839,18.64,8.62,24.9,1.42,3.25,0.37,Medicamentos e Outros Produtos,IBOV,,
480,RAIL3,23.88,21.87,23.85,5.21,16.46,24.09,20.39,8.32,0.28,0.43,56.35,19.348837209302328,-0.6515912897822445,5.11,2.88,16.04,1.85,7.64,0.74,Transporte Ferroviario,IBOV,,
481,RAIZ4,3.96,3.6,3.97,9.37,2.24,4.56,-0.75,2.21,5.91,0.24,16.22,9.208333333333334,-0.44191919191919193,11.03,1.79,8.24,1.06,1.11,1.38,Exploracao Refino e Distribuicao,,,
482,RANI3,12.14,10.88,12.12,7.73,6.93,12.12,65.8,5.2,7.23,2.0,6.09,2.6,-0.57166392092257,38.49,2.35,5.83,2.7,29.87,0.77,Embalagens,,,
483,RANI4,5.5,5.5,5.5,0.0,0.0,0.0,0.0,5.2,0.0,2.0,2.75,2.6,-0.054545454545454564,38.49,1.06,5.83,2.7,29.87,0.77,Embalagens,,,
484,RAPT3,9.75,9.68,10.0,-1.91,6.58,10.2,17.61,8.91,5.28,1.45,6.71,6.144827586206897,-0.08615384615384614,16.22,1.09,5.07,2.17,4.2,1.1,Material Rodoviario,,,
485,RAPT4,12.14,12.14,12.68,-4.26,7.02,12.82,35.34,8.91,4.23,1.45,8.36,6.144827586206897,-0.2660626029654036,16.22,1.36,5.07,2.17,4.2,1.1,Material Rodoviario,,SMLL,
486,RCSL3,1.73,1.72,2.37,-16.75,1.72,10.68,-69.69,0.0,0.0,-0.1,-17.44,-0.0,-1.0,-2950.58,514.45,29.86,1.47,-19.27,-0.61,Material Rodoviario,,,
487,RCSL4,1.3,1.26,1.35,-1.52,1.06,2.71,-40.37,0.0,0.0,-0.1,-12.95,-0.0,-1.0,-2950.58,382.16,29.86,1.47,-19.27,-0.61,Material Rodoviario,,SMLL,
488,RDNI3,5.11,5.11,5.4,-5.37,4.99,7.26,-25.73,14.21,2.81,-0.08,-64.6,-177.625,1.7808219178082192,-0.56,0.36,17.21,1.71,-0.56,1.13,Incorporacoes,,,
489,RDOR3,28.64,28.25,29.38,-0.76,20.0,36.98,-10.25,9.79,0.68,0.59,48.54,16.593220338983052,-0.6581703910614525,6.02,2.92,16.97,2.68,3.87,0.11,Serv Mao Hosp Analises e Diagnosticos,,,
490,RECV3,22.21,21.58,23.88,-5.98,17.23,35.26,-16.64,14.71,4.8,3.4,6.49,4.326470588235295,-0.3376857271499325,23.12,1.5,6.14,0.9,33.72,-0.04,Exploracao Refino e Distribuicao,,,
491,REDE3,5.79,5.78,5.9,0.17,4.44,6.73,8.63,1.8,9.2,0.62,9.47,2.903225806451613,-0.689119170984456,34.34,3.25,6.71,1.19,8.61,2.57,Energia Eletrica,,,
492,RENT3,61.66,60.35,63.73,-3.0,48.57,72.23,1.61,23.46,2.34,1.23,49.92,19.073170731707318,-0.6195264352903016,5.24,2.62,17.96,1.24,5.08,1.09,Aluguel de carros,IBOV,,
493,RLOG3,23.08,20.32,23.08,0.0,0.0,0.0,0.0,5.41,0.0,0.28,82.76,19.32142857142857,-0.7655979202772963,5.15,4.26,12.09,2.64,1.85,5.71,Transporte Ferroviario,,SMLL,
494,RNEW11,4.01,3.93,4.1,-2.2,3.93,7.9,-35.32,10.28,0.0,7.77,0.52,1.3230373230373231,1.56359102244389,75.53,0.39,1.61,0.2,261.71,1.16,Energia Eletrica,,,
495,RNEW3,1.3,1.28,1.39,-5.11,1.28,2.65,-38.68,3.43,0.0,2.59,0.5,1.3243243243243246,1.6384615384615384,75.53,0.38,1.61,0.2,261.71,1.16,Energia Eletrica,,,
496,RNEW4,1.32,1.29,1.37,-2.22,1.29,2.6,-35.61,3.43,0.0,2.59,0.51,1.3243243243243246,1.5984848484848486,75.53,0.39,1.61,0.2,261.71,1.16,Energia Eletrica,,,
497,ROMI3,13.64,12.75,13.68,2.88,11.42,18.35,16.55,12.38,7.45,2.49,5.41,4.971887550200803,-0.09237536656891498,20.09,1.09,6.09,2.1,14.09,0.46,Maq Equip Industriais,,SMLL,IDIV
498,RPAD3,7.4,7.4,7.4,0.0,6.43,7.99,1.37,12.83,0.0,0.72,10.3,17.819444444444446,0.7337837837837837,5.6,0.58,10.41,16.67,0.0,-0.06,Bancos,,,
499,RPAD5,7.51,7.51,7.51,0.0,6.33,8.8,-14.66,12.83,6.65,0.72,10.45,17.819444444444446,0.7083888149134487,5.6,0.59,10.41,16.67,0.0,-0.06,Bancos,,,
500,RPAD6,7.39,7.2,7.39,0.54,4.89,7.5,51.12,12.83,0.0,0.72,10.16,17.819444444444446,0.736129905277402,5.6,0.57,10.41,16.67,0.0,-0.06,Bancos,,,
501,RPMG3,2.29,2.21,2.34,3.62,1.52,3.47,13.93,-66.35,0.0,-13.44,-0.17,4.9367559523809526,-29.97379912663755,-20.25,-0.03,-0.15,0.52,-17.3,0.0,Exploracao Refino e Distribuicao,,,
502,RRRP3,32.83,32.2,33.22,-0.93,27.15,51.31,-12.71,21.89,0.0,1.99,16.39,11.0,-0.33323180018275966,9.11,1.49,132.51,1.08,20.3,1.39,Exploracao Refino e Distribuicao,,,
503,RSID3,3.87,3.81,4.06,0.52,2.35,5.18,21.32,-60.0,0.0,-21.86,-0.18,2.7447392497712717,-16.503875968992247,-36.43,-0.07,-2.4,0.24,1030.45,0.0,Incorporacoes,,,
504,RSUL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.61,0.0,10.74,0.0,2.477653631284916,inf,40.34,0.0,1.14,2.16,17.12,-0.24,Material Rodoviario,,,
505,RSUL4,64.2,62.99,64.2,1.1,51.73,81.3,-8.55,26.61,4.55,10.74,5.96,2.477653631284916,-0.5855140186915888,40.34,2.41,1.14,2.16,17.12,-0.24,Material Rodoviario,,,
506,SANB11,27.04,26.5,27.34,-1.35,24.71,31.04,-4.46,29.88,6.35,2.67,10.17,11.191011235955056,0.1050295857988166,8.92,0.91,14.17,0.0,10.21,0.0,Bancos,IBOV,,IDIV
