,DY,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP GIRO,P/ATIVO CIRC.LIQ,DÍVIDA LÍQUIDA/PL,DÍVIDA LÍQUIDA/EBITDA,DÍVIDA LÍQUIDA/EBIT,PL/ATIVOS,PASSIVOS/ATIVOS,LIQUIDEZ CORRENTE,M.BRUTA,M.EBITDA,M.EBIT,M.LIQ,ROE,ROA,ROIC,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS
AALR3,,"-3,13","-0,01","1,04","8,93","-157,54","19,37","-72,63","7,32","0,36","-2,42","0,79","-2,79","-0,42","1,03","8,92","-72,55","0,34","0,65","0,55","30,29","8,87","-1,09","-25,30","-33,11","-11,37","-1,98","0,45","0,13",
ABCB4,"8,43","5,35","0,37","0,78",,"4,25",,"4,10","23,98","0,08","3,48","1,04","3,40","-0,08",,,,"0,10","0,90","1,50","31,62",,"25,25","19,35","14,50","1,45",,"0,07","18,70","12,95"
ABEV3,"5,46","15,39","2,83","2,58","9,09","12,12","8,92","12,36","5,40","1,65","0,91","2,66","1.086,15","-2,22","-0,10","-0,35","-0,47","0,64","0,35","1,01","49,95","29,22","21,50","17,26","16,78","10,71","18,20","0,62","10,72","14,46"
ADHM3,,"-4,09","-0,58","-1,29",,"-5,69",,"-5,69","-1,21","105,12","-0,38","770,90","-1,43","-116,16",,,"0,00","-81,72","82,72","0,00","100,00",,"-13.548,48","-18.860,61","-31,47","-2.571,90","22,61","0,14",,
AERI3,,"-6,97","0,00","0,88","2,24","6,19","5,19","2,67","1,10","0,23","-0,14","0,25","0,98","-0,60","1,11","2,83","3,38","0,27","0,73","1,63","13,03","11,17","9,37","-3,59","-12,65","-3,35","9,83","0,93",,
AESB3,,"46,55","-0,67","1,53",,"17,93",,"7,95","7,32","0,34","0,24","2,18","4,01","-0,43","1,89",,"9,82","0,22","0,73","1,64","34,55",,"27,40","4,68","3,29","0,73","4,29","0,16",,
AFLT3,"2,95","14,33","-0,23","2,07",,"14,50",,"14,04","4,30","1,82","0,62","7,02","9,66","-2,42","-0,07",,"-0,47","0,88","0,12","4,34","59,73",,"49,97","48,96","14,46","12,72","13,28","0,26","24,96","25,66"
AGRO3,"12,49","9,88","-0,20","1,21",,"11,44",,"9,62","21,46","0,76","2,62","2,07","3,70","-1,23","0,21",,"1,67","0,63","0,37","2,14","30,76",,"21,55","20,98","12,22","7,65","8,56","0,36","27,22","16,28"
AGXY3,"0,82","-4,19","0,00","0,78","1,47","4,12","3,18","1,90","6,18","0,09","-1,15","0,07","1,69","-0,45","0,88","1,66","2,15","0,12","0,88","1,08","12,38","5,05","3,90","-1,77","-18,62","-2,24","13,29","1,27",,
AHEB3,,"2,16","-0,01","18,88","1,52","1,28","1,21","1,60","1,00","0,44","8,77","0,34","3,30","-0,76","-3,79","-0,30","-0,32","0,02","0,98","1,46","35,19","22,72","21,45","15,93","873,55","20,39","683,71","1,28","20,77",
